Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
leftsidecamera,-0.00149999061365252,0.000519604743279722,0.00019568435592654,0,0,0,0.139302899939688,2.63345254550775E-05,-8.47143790917514E-12,-2.01790500659308E-11,0.000213993467615643,-1.43332286463178E-06,0.000226650135197043,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/leftsidecamera.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/leftsidecamera.STL,,side camera-1,Origin_leftsidecameraJ,Axis_leftsidecameraJ,leftsidecameraJ,fixed,0.874665728767983,0.609084906338769,0.70715594077481,1.5707963267949,-1.0471975511966,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
rightsidecamera,-0.00149998996752915,0.000519604727322709,0.000195684065563084,0,0,0,0.139302897768661,2.63345246842284E-05,-8.56923931143297E-12,-2.1928744487832E-11,0.000213993462876795,-1.43332281905817E-06,0.000226650131233711,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/rightsidecamera.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/rightsidecamera.STL,,side camera-2,Origin_rightsidecameraJ,Axis_rightsidecameraJ,rightsidecameraJ,fixed,0.876165738041346,-0.609309792651784,0.70455784850153,1.57079632679489,1.0471975511966,0,base_link,0,0,0,,,,,,,,,,,,
fender,-0.175870094770032,-0.00085919496853154,0.0610895814269553,0,0,0,43.3154232835295,9.65043529012435,0.0102304520585914,0.152018298510077,23.3286696949382,0.00303696031287803,32.6961080874861,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/fender.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/fender.STL,,sideFender-1,Origin_fenderJ,Axis_fenderJ,fenderJ,fixed,-0.000164641077713884,-0.000112443156510628,-0.1,3.14159265358979,0,0,base_link,0,0,0,,,,,,,,,,,,
frontdash,1.6716833012298E-07,0.399999998390519,0.051816479087113,0,0,0,185.76342793363,20.4294679787411,-1.13293654348629E-09,-7.55792435573605E-07,20.4294680961604,8.05279010059168E-09,40.4973147187076,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontdash.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontdash.STL,,Part2^ADSAssemb-1,Origin_frontdashJ,Axis_frontdashJ,frontdashJ,fixed,0.999835358922287,-0.000112443156510211,-0.1,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
frontsection,-0.00979041269916806,-0.0466812760758573,0.00792923331325213,0,0,0,7.94980305378265,0.556063933557213,6.19816245393628E-05,-5.87126763957778E-06,0.543579994238625,0.0100906484329882,1.09843338982599,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontsection.STL,0.388235294117647,0.858823529411765,0.388235294117647,0.6,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontsection.STL,,frontsection-1,Origin_frontsectionJ,Axis_frontsectionJ,frontsectionJ,fixed,0.0099111692635078,0.317168369090463,0.112,0,0,0,frontdash,0,0,0,,,,,,,,,,,,
frontleftaxle,-1.44780153532587E-07,0.170244199225893,0.00185983351947272,0,0,0,1.255510560944,0.0120727242528133,1.44273006457272E-09,-9.61785749458582E-09,0.000629330780757407,-0.00030334695379753,0.012006901197034,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontleftaxle.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontleftaxle.STL,,Axle-1,Origin_frontleftaxleJ,Axis_frontleftaxleJ,frontleftaxleJ,revolute,0.639835358922285,0.344887556843492,-0.0940000000000002,-1.5707963267949,0,0,base_link,0,1,0,100,100,-1.5,1.5,,,,,,,,
frontleftwheel,0.112938359366609,-1.27654955239809E-06,-2.7380444098779E-05,0,0,0,36.1681859264162,1.5345708064848,8.1776020793747E-06,4.38944823288636E-05,0.900984545525603,-2.11585017029225E-06,0.900844823929724,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontleftwheel.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontleftwheel.STL,,tire-1,Origin_frontleftwheelJ,Axis_frontleftwheelJ,frontleftwheelJ,continuous,0,0.3,0.0394304138974926,1.12073190059369,-1.5707963267949,0,frontleftaxle,1,0,0,10,1000,,,,,,,,,,
frontrightaxle,-1.44780153532587E-07,-0.170244199225893,-0.00185983351947282,0,0,0,1.255510560944,0.0120727242528133,-1.44273006156551E-09,9.61785749525165E-09,0.000629330780757405,-0.000303346953797531,0.0120069011970339,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontrightaxle.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontrightaxle.STL,,Axle-4,Origin_frontrightaxleJ,Axis_frontrightaxleJ,frontrightaxleJ,revolute,0.639835358922287,-0.345112443156508,-0.0939999999999998,1.5707963267949,0,3.14159265358979,base_link,0,1,0,100,100,-1.5,1.5,,,,,,,,
frontrightwheel,0.112938360478222,-1.17519237655683E-05,2.47460330253801E-05,0,0,0,36.1681827274385,1.5345708064848,1.34532074691837E-05,-4.25747573542568E-05,0.900955327414579,5.68610579480683E-05,0.900874042040749,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontrightwheel.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/frontrightwheel.STL,,tire-2,Origin_frontrightwheelJ,Axis_frontrightwheelJ,frontrightwheelJ,continuous,0,-0.3,-0.0394304138974929,0.186425012387561,1.5707963267949,0,frontrightaxle,1,0,0,10,1000,,,,,,,,,,
rearleftaxle,-1.44780153643609E-07,0.170244199225893,0.00185983351947294,0,0,0,1.255510560944,0.0120727242528133,1.44273006495627E-09,-9.61785749505374E-09,0.000629330780757406,-0.000303346953797532,0.012006901197034,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/rearleftaxle.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/rearleftaxle.STL,,Axle-3,Origin_rearleftaxleJ,Axis_rearleftaxleJ,rearleftaxleJ,revolute,-0.600164641077715,0.344887556843487,-0.094,-1.5707963267949,0,0,base_link,0,1,0,100,100,-1.5,1.5,,,,,,,,
rearleftwheel,0.11293836093416,-1.17498066415367E-05,2.47558322320485E-05,0,0,0,36.1681826702415,1.5345708064848,1.34532074708897E-05,-4.25747573525141E-05,0.900955327414579,5.68610579477768E-05,0.900874042040747,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/rearleftwheel.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/rearleftwheel.STL,,tire-3,Origin_rearleftwheelJ,Axis_rearleftwheelJ,rearleftwheelJ,continuous,0,0.3,0.039430413897493,1.44787673373564,-1.5707963267949,0,rearleftaxle,1,0,0,10,1000,,,,,,,,,,
rearrightaxle,-1.44780153532587E-07,-0.170244199225893,-0.00185983351947282,0,0,0,1.255510560944,0.0120727242528133,-1.44273005883679E-09,9.61785749578102E-09,0.000629330780757405,-0.000303346953797532,0.0120069011970339,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/rearrightaxle.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/rearrightaxle.STL,,Axle-2,Origin_rearrightaxleJ,Axis_rearrightaxleJ,rearrightaxleJ,revolute,-0.600164641077713,-0.345112443156513,-0.094,1.5707963267949,0,3.14159265358979,base_link,0,1,0,100,100,-1.5,1.5,,,,,,,,
rearrightwheel,0.112938359366148,-1.17564159562988E-05,2.47607953954843E-05,0,0,0,36.1681859265036,1.5345708064848,1.34532074684021E-05,-4.2574757354421E-05,0.900955327414578,5.68610579480128E-05,0.900874042040747,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/rearrightwheel.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/rearrightwheel.STL,,tire-4,Origin_rearrightwheelJ,Axis_rearrightwheelJ,rearrightwheelJ,continuous,0,-0.3,-0.039430413897493,0.212725672040108,1.5707963267949,0,rearrightaxle,1,0,0,10,1000,,,,,,,,,,
pkg1,0.14,-5.55111512312578E-17,-2.60208521396521E-18,0,0,0,15.456,0.142324,7.0838528903557E-18,3.46944695195361E-18,0.175168,-2.01302962337938E-18,0.1691144,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/pkg1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/pkg1.STL,,pkg1-1,Coordinate System34,,pkg1J,fixed,0.70984,0.024888,0.41,0,0,0,base_link,0,0,0,,,,,,,,,,,,
pkgT2,0.14,0,0,0,0,0,28.224,0.550368,0,1.38777878078145E-17,0.319872,0,0.5992896,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/pkgT2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/pkgT2.STL,,pkgT2-1,Coordinate System35,,pkgT2J,fixed,0.70984,0.23489,0.14,0,0,0,base_link,0,0,0,,,,,,,,,,,,
